time	u0	u1	u2	u3	u4	u5	u6	u7	t0	t1	t2	t3	tgpu	clf0	clf4	v	a	w		
511049656.1	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.76	3.809		
511049656.6	1	0	0	0	0.2	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.775	3.886		
511049656.9	1	0	0	0	0	0	0	0	60	60	62	63	57	1400000	1900000	5.011	0.786	3.939		
511049657.3	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.86	4.321		
511049657.7	1	0	0	0	0	0	0	0	59	59	62	61	57	1400000	1900000	5.009	0.761	3.817		
511049658.1	1	0	0	0	0.181818182	0	0	0	58	59	61	61	57	1400000	1900000	5.011	0.781	3.916		
511049658.5	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.76	3.813		
511049658.9	1	0	0	0	0.2	0.3	0	0	59	59	61	62	57	1400000	1900000	5.01	0.76	3.809		
511049659.3	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.848	4.256		
511049659.7	1	0	0	0	0	0	0	0	61	59	62	62	57	1400000	1900000	5.01	0.763	3.825		
511049660.1	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.76	3.813		
511049660.4	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.762	3.817		
511049660.9	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.764	3.828		
511049661.1	1	0	0	0	0	0	0	0	61	59	62	63	57	1400000	1900000	5.01	0.764	3.828		
511049661.6	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.782	3.924		
511049662	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.756	3.79		
511049662.3	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.009	0.759	3.805		
511049662.7	1	0	0	0	0	0	0	0	60	59	62	62	57	1400000	1900000	5.014	0.788	3.95		
511049663.1	1	0	0	0	0.4	0.3	0	0	59	59	62	63	57	1400000	1900000	5.014	0.788	3.95		
511049663.5	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.024	0.861	4.328		
511049663.8	0	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.759	3.805		
511049664.2	0	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.007	0.714	3.576		
511049664.5	0	0	0	0	0	0	0	0	58	59	61	62	57	1400000	1900000	5.01	0.741	3.718		
511049664.9	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.005	0.714	3.576		
511049665.3	0	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.762	3.821		
511049665.8	0	0	0	0	0	0	0	0	58	59	62	62	57	1400000	1900000	5.007	0.736	3.687		
511049666.2	0	0	0	0	0.090909091	0	0	0	58	59	61	61	57	1400000	1900000	5.006	0.709	3.554		
511049666.6	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.005	0.713	3.573		
511049666.8	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.006	0.713	3.569		
511049667.2	0	0	0	0	0	0	0	0	61	59	62	64	57	1400000	1900000	5.007	0.712	3.569		
511049667.7	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.007	0.713	3.573		
511049668.1	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.712	3.565		
511049668.5	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.006	0.709	3.55		
511049668.8	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.009	0.715	3.584		
511049669.2	0	0	0	0	0.1	0.1	0	0	58	59	61	61	56	1400000	1900000	5.007	0.724	3.626		
511049669.6	0	0	0	0	0	0	0	0	58	59	62	62	57	1400000	1900000	5.015	0.806	4.046		
511049669.9	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.005	0.713	3.573		
511049670.3	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.005	0.71	3.554		
511049670.7	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.005	0.73	3.657		
511049671.1	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.005	0.71	3.554		
511049671.5	0	0	0	0	0.090909091	0	0	0	59	59	62	62	56	1400000	1900000	5.015	0.799	4.008		
511049672	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.735	3.683		
511049672.2	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.009	0.734	3.679		
511049672.7	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.01	0.73	3.657		
