time v a w
512778654.42 V:4.983 A:0.394 W:1.966
512778654.62 V:4.981 A:0.395 W:1.970
512778654.82 V:4.981 A:0.395 W:1.970
512778655.02 V:4.981 A:0.395 W:1.970
512778655.22 V:4.983 A:0.395 W:1.970
512778655.42 V:4.984 A:0.406 W:2.023
512778655.62 V:4.981 A:0.395 W:1.970
512778655.82 V:4.981 A:0.395 W:1.970
512778656.02 V:4.983 A:0.396 W:1.973
512778656.22 V:4.983 A:0.395 W:1.970
512778656.42 V:4.981 A:0.396 W:1.973
512778656.62 V:4.981 A:0.396 W:1.973
512778656.82 V:4.983 A:0.396 W:1.973
512778657.02 V:4.984 A:0.404 W:2.015
512778657.22 V:4.983 A:0.396 W:1.973
512778657.42 V:4.983 A:0.396 W:1.973
512778657.62 V:4.983 A:0.394 W:1.966
512778657.82 V:4.983 A:0.394 W:1.966
512778658.02 V:4.983 A:0.394 W:1.966
512778658.22 V:4.983 A:0.396 W:1.973
512778658.42 V:4.983 A:0.395 W:1.970
512778658.62 V:4.983 A:0.406 W:2.027
512778658.82 V:4.983 A:0.406 W:2.027
512778659.02 V:4.981 A:0.395 W:1.970
512778659.22 V:4.983 A:0.395 W:1.966
512778659.42 V:4.983 A:0.394 W:1.966
512778659.62 V:4.983 A:0.394 W:1.966
512778659.82 V:4.981 A:0.394 W:1.966
512778660.02 V:4.983 A:0.395 W:1.966
512778660.22 V:4.984 A:0.407 W:2.027
512778660.42 V:4.984 A:0.407 W:2.027
512778660.62 V:4.981 A:0.396 W:1.973
512778660.82 V:4.981 A:0.397 W:1.981
512778661.02 V:4.981 A:0.395 W:1.970
512778661.22 V:4.981 A:0.395 W:1.970
512778661.42 V:4.981 A:0.395 W:1.966
512778661.62 V:4.983 A:0.395 W:1.966
512778661.82 V:4.983 A:0.395 W:1.966
512778662.02 V:4.981 A:0.397 W:1.977
512778662.22 V:4.983 A:0.396 W:1.973
512778662.42 V:4.984 A:0.395 W:1.966
512778662.62 V:4.984 A:0.395 W:1.966
512778662.82 V:4.985 A:0.427 W:2.126
512778663.02 V:4.981 A:0.395 W:1.970
512778663.22 V:4.985 A:0.412 W:2.053
512778663.42 V:4.985 A:0.412 W:2.053
512778663.62 V:4.985 A:0.423 W:2.107
512778663.82 V:4.985 A:0.396 W:1.973
512778664.02 V:4.983 A:0.400 W:1.992
512778664.22 V:4.983 A:0.400 W:1.992
512778664.42 V:4.983 A:0.397 W:1.977
512778664.62 V:4.981 A:0.397 W:1.981
512778664.82 V:4.981 A:0.397 W:1.981
512778665.02 V:4.981 A:0.396 W:1.977
512778665.22 V:4.981 A:0.397 W:1.981
512778665.42 V:4.981 A:0.397 W:1.981
512778665.62 V:4.981 A:0.397 W:1.981
512778665.82 V:4.981 A:0.396 W:1.973
512778666.02 V:4.984 A:0.425 W:2.118
512778666.22 V:4.981 A:0.398 W:1.985
512778666.42 V:4.981 A:0.398 W:1.985
512778666.62 V:4.981 A:0.397 W:1.981
512778666.82 V:4.983 A:0.397 W:1.977
512778667.02 V:4.981 A:0.398 W:1.981
512778667.22 V:4.981 A:0.398 W:1.981
512778667.42 V:4.983 A:0.397 W:1.977
512778667.62 V:4.983 A:0.397 W:1.981
512778667.82 V:4.983 A:0.397 W:1.981
512778668.02 V:4.981 A:0.398 W:1.985
512778668.22 V:4.983 A:0.397 W:1.981
512778668.42 V:4.983 A:0.397 W:1.977
512778668.62 V:4.983 A:0.397 W:1.977
512778668.82 V:4.981 A:0.397 W:1.981
512778669.02 V:4.983 A:0.395 W:1.970
512778669.22 V:4.983 A:0.398 W:1.981
512778669.42 V:4.983 A:0.398 W:1.981
512778669.62 V:4.983 A:0.395 W:1.970
512778669.82 V:4.981 A:0.395 W:1.966
512778670.02 V:4.981 A:0.396 W:1.970
512778670.22 V:4.981 A:0.396 W:1.970
512778670.42 V:4.981 A:0.397 W:1.981
512778670.62 V:4.981 A:0.395 W:1.970
512778670.82 V:4.983 A:0.395 W:1.970
512778671.02 V:4.983 A:0.395 W:1.970
512778671.22 V:4.983 A:0.400 W:1.992
512778671.42 V:4.983 A:0.395 W:1.970
512778671.62 V:4.983 A:0.395 W:1.970
512778671.82 V:4.983 A:0.396 W:1.973
512778672.02 V:4.981 A:0.395 W:1.970
512778672.22 V:4.983 A:0.395 W:1.970
512778672.42 V:4.983 A:0.395 W:1.970
512778672.62 V:4.983 A:0.395 W:1.970
512778672.82 V:4.981 A:0.395 W:1.966
