time v a w
512779012.28 V:4.991 A:0.483 W:2.416
512779012.4 V:4.991 A:0.483 W:2.416
512779012.52 V:4.990 A:0.476 W:2.378
512779012.64 V:4.990 A:0.476 W:2.378
512779012.76 V:4.991 A:0.476 W:2.382
512779012.88 V:4.991 A:0.476 W:2.382
512779013.0 V:4.991 A:0.476 W:2.382
512779013.12 V:4.991 A:0.477 W:2.382
512779013.24 V:4.991 A:0.477 W:2.382
512779013.36 V:4.991 A:0.477 W:2.382
512779013.48 V:4.991 A:0.477 W:2.382
512779013.62 V:4.991 A:0.478 W:2.386
512779014.29 V:4.991 A:0.478 W:2.386
512779014.41 V:4.991 A:0.477 W:2.382
512779014.53 V:4.991 A:0.477 W:2.382
512779014.64 V:4.991 A:0.477 W:2.382
512779014.76 V:4.991 A:0.476 W:2.378
512779014.88 V:4.991 A:0.476 W:2.378
512779015.02 V:4.991 A:0.476 W:2.378
512779015.22 V:4.990 A:0.476 W:2.382
512779015.42 V:4.990 A:0.476 W:2.378
512779015.62 V:4.990 A:0.476 W:2.378
512779015.82 V:4.990 A:0.476 W:2.378
512779016.02 V:4.990 A:0.476 W:2.378
512779016.22 V:4.990 A:0.476 W:2.382
512779016.42 V:4.990 A:0.476 W:2.382
512779016.62 V:4.990 A:0.478 W:2.389
512779016.82 V:4.990 A:0.476 W:2.378
512779017.02 V:4.991 A:0.476 W:2.378
512779017.22 V:4.991 A:0.476 W:2.378
512779017.42 V:4.991 A:0.476 W:2.382
512779017.62 V:4.990 A:0.476 W:2.378
512779017.82 V:4.990 A:0.476 W:2.378
512779018.02 V:4.991 A:0.477 W:2.386
512779018.22 V:4.991 A:0.477 W:2.382
512779018.42 V:4.990 A:0.477 W:2.386
512779018.62 V:4.990 A:0.477 W:2.386
512779018.82 V:4.991 A:0.478 W:2.389
512779019.02 V:4.992 A:0.477 W:2.382
512779019.22 V:4.991 A:0.478 W:2.389
512779019.42 V:4.991 A:0.478 W:2.389
512779019.62 V:4.991 A:0.478 W:2.386
512779019.82 V:4.992 A:0.478 W:2.386
512779020.02 V:4.992 A:0.477 W:2.386
512779020.22 V:4.992 A:0.477 W:2.386
512779020.42 V:4.991 A:0.478 W:2.386
512779020.62 V:4.991 A:0.477 W:2.382
512779020.82 V:4.991 A:0.477 W:2.382
512779021.02 V:4.990 A:0.477 W:2.382
512779021.22 V:4.991 A:0.477 W:2.386
512779021.42 V:4.991 A:0.477 W:2.382
512779021.62 V:4.991 A:0.477 W:2.382
512779021.82 V:4.991 A:0.478 W:2.389
512779022.02 V:4.991 A:0.477 W:2.386
512779022.22 V:4.992 A:0.478 W:2.386
512779022.42 V:4.992 A:0.478 W:2.386
512779022.62 V:4.990 A:0.477 W:2.386
512779022.82 V:4.991 A:0.477 W:2.386
512779023.02 V:4.991 A:0.477 W:2.382
512779023.22 V:4.991 A:0.477 W:2.382
512779023.42 V:4.991 A:0.478 W:2.386
512779023.62 V:4.991 A:0.478 W:2.386
512779023.82 V:4.991 A:0.477 W:2.382
512779024.02 V:4.991 A:0.477 W:2.382
512779024.22 V:4.991 A:0.477 W:2.382
512779024.42 V:4.991 A:0.477 W:2.382
512779024.62 V:4.991 A:0.477 W:2.382
512779024.82 V:4.991 A:0.476 W:2.378
512779025.02 V:4.991 A:0.477 W:2.382
512779025.22 V:4.991 A:0.476 W:2.382
512779025.42 V:4.991 A:0.476 W:2.382
512779025.62 V:4.991 A:0.477 W:2.378
512779025.82 V:4.990 A:0.477 W:2.382
512779026.02 V:4.990 A:0.476 W:2.382
512779026.22 V:4.990 A:0.476 W:2.382
512779026.42 V:4.992 A:0.485 W:2.424
512779026.62 V:4.992 A:0.493 W:2.462
512779026.82 V:4.991 A:0.478 W:2.386
512779027.02 V:4.991 A:0.478 W:2.386
512779027.22 V:4.991 A:0.478 W:2.386
512779027.42 V:4.990 A:0.478 W:2.389
512779027.62 V:4.990 A:0.478 W:2.389
512779027.82 V:4.991 A:0.478 W:2.386
512779028.02 V:4.991 A:0.479 W:2.393
512779028.22 V:4.991 A:0.479 W:2.393
512779028.42 V:4.991 A:0.479 W:2.393
512779028.62 V:4.991 A:0.479 W:2.393
512779028.82 V:4.992 A:0.477 W:2.386
512779029.02 V:4.991 A:0.478 W:2.386
512779029.22 V:4.991 A:0.478 W:2.386
512779029.42 V:4.991 A:0.477 W:2.386
512779029.62 V:4.991 A:0.477 W:2.386
512779029.82 V:4.991 A:0.478 W:2.386
512779030.02 V:4.991 A:0.478 W:2.386
512779030.22 V:4.991 A:0.477 W:2.386
512779030.42 V:4.991 A:0.477 W:2.386
512779030.62 V:4.991 A:0.477 W:2.386
512779030.82 V:4.991 A:0.477 W:2.386
512779031.02 V:4.990 A:0.477 W:2.386
512779031.22 V:4.991 A:0.478 W:2.386
512779031.42 V:4.991 A:0.478 W:2.386
512779031.62 V:4.991 A:0.477 W:2.386
512779031.82 V:4.990 A:0.479 W:2.389
512779032.02 V:4.990 A:0.477 W:2.386
512779032.22 V:4.990 A:0.477 W:2.386
512779032.42 V:4.990 A:0.477 W:2.386
512779032.62 V:4.990 A:0.477 W:2.386
512779032.82 V:4.990 A:0.477 W:2.386
512779033.02 V:4.990 A:0.477 W:2.386
512779033.22 V:4.990 A:0.477 W:2.382
512779033.42 V:4.991 A:0.477 W:2.386
512779033.62 V:4.991 A:0.477 W:2.386
512779033.82 V:4.991 A:0.477 W:2.386
512779034.02 V:4.991 A:0.477 W:2.382
512779034.22 V:4.990 A:0.479 W:2.389
512779034.42 V:4.990 A:0.479 W:2.389
512779034.62 V:4.991 A:0.477 W:2.382
512779034.82 V:4.991 A:0.476 W:2.382
512779035.02 V:4.990 A:0.477 W:2.382
512779035.22 V:4.990 A:0.477 W:2.382
512779035.42 V:4.991 A:0.476 W:2.378
512779035.62 V:4.991 A:0.476 W:2.382
512779035.82 V:4.990 A:0.477 W:2.382
512779036.02 V:4.990 A:0.477 W:2.382
512779036.22 V:4.991 A:0.476 W:2.378
512779036.42 V:4.990 A:0.476 W:2.378
512779036.62 V:4.990 A:0.476 W:2.378
512779036.82 V:4.990 A:0.476 W:2.378
512779037.02 V:4.990 A:0.477 W:2.382
512779037.22 V:4.990 A:0.476 W:2.378
512779037.42 V:4.990 A:0.476 W:2.378
512779037.62 V:4.990 A:0.477 W:2.382
512779037.82 V:4.990 A:0.477 W:2.382
512779038.02 V:4.991 A:0.477 W:2.386
512779038.22 V:4.991 A:0.477 W:2.386
512779038.42 V:4.990 A:0.478 W:2.386
512779038.62 V:4.991 A:0.477 W:2.386
512779038.82 V:4.991 A:0.477 W:2.386
512779039.02 V:4.991 A:0.477 W:2.386
512779039.22 V:4.990 A:0.478 W:2.386
512779039.42 V:4.995 A:0.477 W:2.386
512779039.62 V:4.991 A:0.477 W:2.386
512779039.82 V:4.991 A:0.477 W:2.386
512779040.02 V:4.990 A:0.478 W:2.389
512779040.22 V:4.991 A:0.477 W:2.386
512779040.42 V:4.991 A:0.477 W:2.386
512779040.62 V:4.991 A:0.477 W:2.382
